"glmImp" "rfIMP" "xgbImp" "stabImp" "varImp" "chiImp" "moyImp"
"COT_BDF_ENTREP.Sup" 15.7731090356729 0.0799031663726919 0.00695109206750086 10.3083393608187 0.0666969841509026 4.59718186130324 5.13869691673098
"TOP_INCID_SIREN.0" 17.5431168169647 0.0769488811147909 0.0232670397467095 9.78863618098529 0.0442320503365483 3.02162807175057 5.08297150681643
"NOTE_MOTEUR_T" 3.55390511449481 2.65633484700376 4.3815082428291 10.4990757855823 0.220521031917671 6.91684334311044 4.704698060823
"TOP_INCD_12M_SIREN_C.0" 6.53139461137176 1.86567271937215 0.00600838617201161 10.6083741862895 0.93121743761734 5.98701531065022 4.32161377524549
"NBJ_DEPASS_MOIS_SIREN_12M_2" 1.96967954708217 4.78559335274419 0.104651932328381 10.389777384875 0.287006011422467 5.05993956680843 3.76610796587678
"NB_JOUR_DEBT_SIREN_12M" 1.14389211765784 3.50735159934766 1.67565478178247 7.672854884942 0.290322522758274 4.62041719748798 3.1517488506627
"ALLUR_CAV" 0.965546131928767 1.24255610263188 0.0846744802741033 7.5335530016877 0.277912180754697 4.00303689680808 2.35121313234754
"NOTCOF" 2.5195346912562 0.371872430208722 0.0968892402872505 6.92062471536875 0.545420263219125 2.32340276474957 2.12962401751494
"COT_BDF_ENTREP.3" 7.81346275917478 0.0995461276223785 0.0180673089936831 0 1.03287531796332 0.747739862144076 1.61861522931637
"COT_BDF_ENTREP.5" 4.01072414361612 0.0564263214871934 0.0127911214593566 3.31109860966005 0.814171168985111 1.3551667401425 1.59339635089172
"TOP_INCD_12M_SIREN_C.0.1" 8.62757207552496e-06 2.532261126069 0 0 0.93121743761734 5.98701531065022 1.57508375031811
"TOP_INCD_12M_SIREN_C.1.1" 0.737827528693002 1.65760152996643 0 0 0.93121743761734 5.98701531065022 1.55227696782116
"TOP_INCD_12M_SIREN_C.1" 5.48048324741382e-15 2.1396732009011 0 0.0975113182780144 0.93121743761734 5.98701531065022 1.52590287790778
"TOP_INCID_SIREN.1" 6.27708973856254e-13 0.0698839343157037 0 4.33550322805326 0.0442320503365483 3.02162807175057 1.24520788074278
"SLDE_MOY_SIREN_3M" 0.165364232000733 5.56920006697916 1.46911891507771 0.161804495164617 0.00221236764895089 0.0812665041389287 1.24149443016835
"MNT_EE_CLI_12M_SIREN" 0.90512571728149 2.15746581972004 0.746505699578313 2.28883709716306 0.0158870001951365 0.3297266059479 1.07392465664766
"COD_ACT_REF.6" 5.84811875161171 0.00348344389686588 0.0545375045710416 0.0819738005304187 0.29312009889376 0.144386792551006 1.07093673200913
"NOTMOT" 0 1.13912835215808 0.092896005674298 0.0867957887969139 0.643108199347111 4.45034620720771 1.06871242553068
"SLDE_MOY_SIREN_1M" 0 4.37361839063486 1.50283212623426 0 0.00229928984782379 0.167297595320485 1.00767456700624
"PD_COFACE" 0 0.407411564195802 0.088347756888958 2.80211095930778 0.548007278179185 1.97731560898925 0.970532194593495
"COT_BDF_ENTREP.Sup.1" 0.466943744276558 0.0625024572167444 0 0 0.0666969841509026 4.59718186130324 0.86555417449124
"RSS1" 0 1.28874162323425 0.644771704315933 3.02928018430711 0.00105720776102699 1.98725292379229e-28 0.82730845326972
"NB_EE_CLI_12M_SIREN" 0 3.44524856650031 0.739811007969528 0.557207533017225 0.00427963305052679 0.00610599039491339 0.79210878848875
"MT_IMPS_PRET_SIREN" 0.424383596119398 0.0132112089108947 0.750152884748564 3.33145811567414 0.000947611425015604 0.121357755928987 0.773585195467833
"CA_FINAL" 0 0.143545948688477 3.54224517647626 0 0.794120006022977 0.0700474105744865 0.758326423627034
"RATIO_SOLDE_ENGT" 0 4.29008464556314 0.109893819537847 0 0.00325357013804039 0.00855097383694439 0.735297168179329
"COD_ACT_REF.1" 3.26816157713036 0.0161773178301717 0.0621850749884672 0 0.621074094804826 0.0608161276051947 0.671402365393171
"TOP_INCID_SIREN.0.1" 0.797227700320449 0.07064734418984 0 0 0.0442320503365483 3.02162807175057 0.655622527766235
"ENGT_CT_SIREN_VAR12" 0.5915773524892 0.169121265947422 0.138093095931877 2.26365560288248 0.00254591009521348 0.522285004148317 0.614546371915751
"TOP_FILLE_CONSO.0" 2.10874971976885 0.0117439834842702 0.0280618150171718 0 1.36755234623311 0.0948671669908428 0.601829171915708
"MT_MVT_CRDT_SIREN_12M" 1.45558513478617 0.329082674457192 1.73237587241702 0 0.00678269641977972 0.0116092851971414 0.589239277212884
"NB_PRET_DAILLY_SIREN" 0.631282675338203 0.0396921044943891 1.07703991018501 0.626322698170323 0.0798955240681064 0.98191334277014 0.572691042504362
"alea" 0 0.163698051298979 2.0690211728702 0 1.03688047922353 0.089154534784666 0.559792373029563
"CATJUR_REF.5499" 0 0.0182782352241262 0.0753151610230058 0 3.10045334284595 0.040409403482963 0.539076023762674
"COT_BDF_ENTREP.5+" 1.12353249256806 0.032763124709421 0.00809970753039554 0 1.64525143254369 0.373071034491099 0.530452965307111
"CATJUR_REF.5499.1" 0 0.0070861116946361 0 0 3.10045334284595 0.040409403482963 0.524658143003925
"TOP_INCID_SIREN.1.1" 5.03727818790677e-14 0.054046081140888 0 0 0.0442320503365483 3.02162807175057 0.519984367204677
"COD_ACT_REF.2" 1.16743994259523 0.0119021027229681 0.0586766545715467 0 1.68077300976308 0.17050741096718 0.51488318677
"NB_TIERS_SIREN" 0.75411659512184 0.0310888491365201 1.84890265852376 0 0.114869350351531 0.312469810775815 0.510241210651577
